provider,model,condition,evidence_score,bin_tag,outlet_valve,feeder_tag,motor_tag,duration_sec,input_tokens,cache_creation_input_tokens,cached_input_tokens,output_tokens,reported_cost_usd,comparison_cost_usd,cost_basis,model_usage_keys,review_note,raw_path
claude,sonnet,crop-guided,4,1,1,1,1,15.242,4,9153,53562,710,0.0559184,0.0559184,claude_cli_reported,claude-haiku-4-5-20251001|claude-sonnet-5,Unit 1·2 동일 tag와 오른쪽 E-MT-19 제외까지 정확히 확인함,experiments/image-reading/baseline/raw/claude-sonnet-crop-guided.json
claude,sonnet,crop-short,4,1,1,1,1,7.307,4,8584,53331,405,0.0503722,0.0503722,claude_cli_reported,claude-haiku-4-5-20251001|claude-sonnet-5,네 항목과 연결 관계를 모두 정확히 확인함,experiments/image-reading/baseline/raw/claude-sonnet-crop-short.json
claude,sonnet,full-guided,1,0,1,0,0,62.025,6,15240,82106,4763,0.12651220000000002,0.12651220000000002,claude_cli_reported,claude-haiku-4-5-20251001|claude-sonnet-5,Bin tag를 W-SI-04로 잘못 읽고 Feeder·motor는 확인하지 못함,experiments/image-reading/baseline/raw/claude-sonnet-full-guided.json
claude,sonnet,full-short,3,1,1,1,0,38.549,6,14615,80635,2927,0.105161,0.105161,claude_cli_reported,claude-haiku-4-5-20251001|claude-sonnet-5,Bin·V186·Feeder tag는 맞았지만 EM/E-MT-18을 M-TP16으로 잘못 읽음,experiments/image-reading/baseline/raw/claude-sonnet-full-short.json
codex,luna,crop-guided,4,1,1,1,1,,17531,0,5888,437,,0.00297076,openai_api_equivalent_estimate,,네 항목을 정확히 읽고 표로 근거를 정리함,experiments/image-reading/baseline/raw/codex-luna-crop-guided.jsonl
codex,luna,crop-short,4,1,1,1,1,,17409,0,5888,239,,0.00270876,openai_api_equivalent_estimate,,네 항목과 연결 관계를 모두 정확히 확인함,experiments/image-reading/baseline/raw/codex-luna-crop-short.jsonl
codex,luna,full-guided,2,1,1,0,0,,76875,0,56064,1456,,0.00703068,openai_api_equivalent_estimate,,"Feeder tag를 07C/08C, motor를 M/M-TP16으로 잘못 읽음",experiments/image-reading/baseline/raw/codex-luna-full-guided.jsonl
codex,luna,full-short,2,1,1,0,0,,126145,0,92928,1439,,0.01022876,openai_api_equivalent_estimate,,"Feeder tag를 M-V-03C, motor를 EX/M-E-17로 잘못 읽음",experiments/image-reading/baseline/raw/codex-luna-full-short.jsonl
codex,terra,crop-guided,3,1,1,0,1,,19088,0,11008,389,,0.0230296,openai_api_equivalent_estimate,,Unit 1 tag를 인접한 03B와 섞어 읽었고 Unit 2는 정확히 읽음,experiments/image-reading/baseline/raw/codex-terra-crop-guided.jsonl
codex,terra,crop-short,4,1,1,1,1,,18966,0,6912,274,,0.0287784,openai_api_equivalent_estimate,,네 항목과 연결 관계를 모두 정확히 확인함,experiments/image-reading/baseline/raw/codex-terra-crop-short.jsonl
codex,terra,full-guided,2,1,1,0,0,,483736,0,421888,3622,,0.2515376,openai_api_equivalent_estimate,,Unit 2 Feeder tag와 motor tag를 잘못 읽음,experiments/image-reading/baseline/raw/codex-terra-full-guided.jsonl
codex,terra,full-short,2,1,1,0,0,,82382,0,68736,1425,,0.0581392,openai_api_equivalent_estimate,,Feeder와 motor tag를 판독하지 못했다고 보류함,experiments/image-reading/baseline/raw/codex-terra-full-short.jsonl
