protocol_version,run_date,provider,model,condition,image_path,image_width,image_height,prompt_path,evidence_score,bin_tag,outlet_valve,feeder_tag,motor_tag,duration_sec,input_tokens,cache_creation_input_tokens,cached_input_tokens,output_tokens,reported_cost_usd,comparison_cost_usd,cost_basis,model_usage_keys,tool_attempts,protocol_compliant,review_note,raw_path
strict-v1,2026-09-04,claude,sonnet,crop-guided,실습자료/이미지/feeder-c-확대.png,1244,1600,실습자료/프롬프트/단계별-질문.txt,4,1,1,1,1,8.129,4,10455,54420,280,0.057157,0.057157,claude_cli_reported,claude-haiku-4-5-20251001|claude-sonnet-5,,limited_trace,Unit 1·2를 구분해 네 항목을 모두 정확히 읽음,experiments/image-reading/strict/raw/claude-sonnet-crop-guided.json
strict-v1,2026-09-04,claude,sonnet,crop-short,실습자료/이미지/feeder-c-확대.png,1244,1600,실습자료/프롬프트/기본-질문.txt,4,1,1,1,1,7.84,4,10349,54314,282,0.0566278,0.0566278,claude_cli_reported,claude-haiku-4-5-20251001|claude-sonnet-5,,limited_trace,네 항목을 모두 정확히 읽음,experiments/image-reading/strict/raw/claude-sonnet-crop-short.json
strict-v1,2026-09-04,claude,sonnet,full-guided,실습자료/이미지/전체-도면.png,1600,1131,실습자료/프롬프트/단계별-질문.txt,1,1,0,0,0,7.886,4,10217,54417,282,0.056297400000000004,0.056297400000000004,claude_cli_reported,claude-haiku-4-5-20251001|claude-sonnet-5,,limited_trace,Bin tag만 맞고 밸브·Unit 2 Feeder tag·motor tag를 잘못 읽음,experiments/image-reading/strict/raw/claude-sonnet-full-guided.json
strict-v1,2026-09-04,claude,sonnet,full-short,실습자료/이미지/전체-도면.png,1600,1131,실습자료/프롬프트/기본-질문.txt,3,1,1,1,0,13.039,6,13428,88291,687,0.0798262,0.0798262,claude_cli_reported,claude-haiku-4-5-20251001|claude-sonnet-5,,limited_trace,Bin·V186·Feeder tag는 맞았지만 전동기를 M-TP16으로 잘못 읽음,experiments/image-reading/strict/raw/claude-sonnet-full-short.json
strict-v1,2026-09-04,codex,luna,crop-guided,실습자료/이미지/feeder-c-확대.png,1244,1600,실습자료/프롬프트/단계별-질문.txt,4,1,1,1,1,,17233,0,9984,336,,0.00205268,openai_api_equivalent_estimate,,0,yes,Unit 1·2를 구분해 네 항목을 모두 정확히 읽음,experiments/image-reading/strict/raw/codex-luna-crop-guided.jsonl
strict-v1,2026-09-04,codex,luna,crop-short,실습자료/이미지/feeder-c-확대.png,1244,1600,실습자료/프롬프트/기본-질문.txt,4,1,1,1,1,,17182,0,9984,431,,0.00215648,openai_api_equivalent_estimate,,0,yes,네 항목을 모두 정확히 읽음,experiments/image-reading/strict/raw/codex-luna-crop-short.jsonl
strict-v1,2026-09-04,codex,luna,full-guided,실습자료/이미지/전체-도면.png,1600,1131,실습자료/프롬프트/단계별-질문.txt,2,1,1,0,0,,17051,0,9984,1396,,0.00328828,openai_api_equivalent_estimate,,0,yes,"Feeder tag를 07/08, motor를 M/M-TP16으로 잘못 읽음",experiments/image-reading/strict/raw/codex-luna-full-guided.jsonl
strict-v1,2026-09-04,codex,luna,full-short,실습자료/이미지/전체-도면.png,1600,1131,실습자료/프롬프트/기본-질문.txt,2,1,1,0,0,,17190,0,16128,2309,,0.00330576,openai_api_equivalent_estimate,,0,yes,"Feeder tag를 18/19, motor를 M/M-TP16으로 잘못 읽음",experiments/image-reading/strict/raw/codex-luna-full-short.jsonl
strict-v1,2026-09-04,codex,terra,crop-guided,실습자료/이미지/feeder-c-확대.png,1244,1600,실습자료/프롬프트/단계별-질문.txt,4,1,1,1,1,,18790,0,11008,247,,0.0207296,openai_api_equivalent_estimate,,0,yes,Unit 1·2를 구분해 네 항목을 모두 정확히 읽음,experiments/image-reading/strict/raw/codex-terra-crop-guided.jsonl
strict-v1,2026-09-04,codex,terra,crop-short,실습자료/이미지/feeder-c-확대.png,1244,1600,실습자료/프롬프트/기본-질문.txt,4,1,1,1,1,,18739,0,15104,367,,0.0146948,openai_api_equivalent_estimate,,0,yes,네 항목을 모두 정확히 읽음,experiments/image-reading/strict/raw/codex-terra-crop-short.jsonl
strict-v1,2026-09-04,codex,terra,full-guided,실습자료/이미지/전체-도면.png,1600,1131,실습자료/프롬프트/단계별-질문.txt,2,1,1,0,0,,18608,0,11008,884,,0.0280096,openai_api_equivalent_estimate,,0,yes,Bin tag와 V186은 맞고 Feeder를 보류했으며 motor를 M-TP16으로 잘못 읽음,experiments/image-reading/strict/raw/codex-terra-full-guided.jsonl
strict-v1,2026-09-04,codex,terra,full-short,실습자료/이미지/전체-도면.png,1600,1131,실습자료/프롬프트/기본-질문.txt,2,1,1,0,0,,18747,0,16128,629,,0.0160116,openai_api_equivalent_estimate,,0,yes,Feeder tag와 motor를 확인하지 못함으로 보류함,experiments/image-reading/strict/raw/codex-terra-full-short.jsonl
