iteration_id,query_id,provider,model,data_version,instruction_version,skill_version,change_axis,change_description,fresh_session,expected_drawing_id,decision_drawing_id,drawing_exact,retrieval_score,evidence_score,behavior_score,quality_total,duration_sec,tool_calls,input_tokens,cached_input_tokens,output_tokens,cost_usd,target_error_before,target_error_after,accepted,response_path,trace_path,reviewer,notes
I000,Q005,claude,claude-haiku-4-5-20251001,raw,raw,,baseline,"Existing raw baseline",true,J-11520-ZM-105-005,J-11520-ZM-105-002,false,,,,,130.83,15,145,,9015,0.1689059,"wrong sheet selection",,"reference only",,,,"Imported from gs-agent-pnid-eval; usage fields follow source harness"
I001,Q005,claude,claude-haiku-4-5-20251001,catalog-v1,raw,,data,"Add drawing catalog only",true,J-11520-ZM-105-005,,,,,,,,,,,,,"wrong sheet selection",,,,,,
I002,Q005,claude,claude-haiku-4-5-20251001,visual-v1,raw,,tool,"Add overview and R03 crop",true,J-11520-ZM-105-005,,,,,,,,,,,,,"wrong sheet selection",,,,,,
I003,Q005,claude,claude-haiku-4-5-20251001,visual-v1,pid-evidence-v1,1.0,instruction,"Add pid-visual-evidence skill",true,J-11520-ZM-105-005,,,,,,,,,,,,,"component evidence error",,,,,,
I010,Q005,codex,gpt-5.6-luna,raw,raw,,baseline,"Existing raw baseline",true,J-11520-ZM-105-005,J-11520-ZM-105-005,true,,,,,163.26,26,840958,,6476,0.0662608,"high tool usage",,"reference only",,,,"Imported from gs-agent-pnid-eval"
I011,Q005,codex,gpt-5.6-luna,catalog-v1,raw,,data,"Add drawing catalog only",true,J-11520-ZM-105-005,J-11520-ZM-105-003,false,,,,,95.21,8,160950,,4436,0.01157016,"high tool usage","wrong sheet selection","rejected",,,,"Existing run shows catalog alone is insufficient"
I012,Q005,codex,gpt-5.6-luna,visual-v1,raw,,tool,"Add overview and crop tool",true,J-11520-ZM-105-005,J-11520-ZM-105-005,true,,,,,124.27,12,684239,,4650,0.06014432,"high tool usage","joint evidence needs review","candidate",,,,"Existing pid-view-v2 run"
I013,Q005,codex,gpt-5.6-luna,visual-v1,pid-evidence-v1,1.0,instruction,"Add pid-visual-evidence skill",true,J-11520-ZM-105-005,,,,,,,,,,,,,"joint evidence needs review",,,,,,
I020,Q008,claude,claude-haiku-4-5-20251001,raw,raw,,baseline,"Run raw Q008",true,J-11520-ZM-105-005,,,,,,,,,,,,,"unknown",,,,,,
I021,Q008,claude,claude-haiku-4-5-20251001,visual-v1,pid-evidence-v1,1.0,data_and_instruction,"Run only after separate data and instruction iterations are complete",true,J-11520-ZM-105-005,,,,,,,,,,,,,"unknown",,,,,,
I030,Q008,codex,gpt-5.6-luna,raw,raw,,baseline,"Run raw Q008",true,J-11520-ZM-105-005,,,,,,,,,,,,,"unknown",,,,,,
I031,Q008,codex,gpt-5.6-luna,visual-v1,pid-evidence-v1,1.0,data_and_instruction,"Run only after separate data and instruction iterations are complete",true,J-11520-ZM-105-005,,,,,,,,,,,,,"unknown",,,,,,
