provider,model,condition,evidence_score,feeder_tag,motor_joint_separation,uncertainty_calibration,context_integrity,duration_sec,input_tokens,cache_creation_input_tokens,cached_input_tokens,output_tokens,reported_cost_usd,comparison_cost_usd,cost_basis,model_usage_keys,review_note,raw_path
claude,haiku,crop-guided,2,1,0,0,1,19.737,20,6370,39439,2379,0.030039899999999994,0.030039899999999994,claude_cli_reported,claude-haiku-4-5-20251001,Reads tag but explicitly interprets E as expansion joint,experiments/single-image-prompt/results/raw/claude-haiku-crop-guided.json
claude,haiku,crop-short,2,1,0,0,1,18.432,20,6276,39207,1618,0.0257917,0.0257917,claude_cli_reported,claude-haiku-4-5-20251001,Reads #C tag but equates flexible hose/sensors with requested evidence,experiments/single-image-prompt/results/raw/claude-haiku-crop-short.json
claude,haiku,full-short,3,0,1,1,1,19.253,20,10261,35231,1765,0.034116099999999996,0.034116099999999996,claude_cli_reported,claude-haiku-4-5-20251001,Small text unresolved; avoids false joint identification,experiments/single-image-prompt/results/raw/claude-haiku-full-short.json
claude,sonnet,crop-guided,4,1,1,1,1,26.311,4,9073,52975,2107,0.069366,0.069366,claude_cli_reported,claude-haiku-4-5-20251001|claude-sonnet-5,Separates visible tag from unresolved component meaning,experiments/single-image-prompt/results/raw/claude-sonnet-crop-guided.json
claude,sonnet,crop-short,1,1,0,0,0,17.888,4,8831,52730,1128,0.058387,0.058387,claude_cli_reported,claude-haiku-4-5-20251001|claude-sonnet-5,Reads tag but misclassifies the crop as a different Coal Handling system,experiments/single-image-prompt/results/raw/claude-sonnet-crop-short.json
claude,sonnet,full-short,4,1,1,1,1,16.345,4,13244,47378,1153,0.0751956,0.0751956,claude_cli_reported,claude-haiku-4-5-20251001|claude-sonnet-5,Correct drawing context and cautious about exact joint,experiments/single-image-prompt/results/raw/claude-sonnet-full-short.json
codex,luna,crop-guided,4,1,1,1,1,,16916,0,8960,830,,0.0027664,openai_api_equivalent_estimate,,"Correct tag, motor/joint separation, and uncertainty",experiments/single-image-prompt/results/raw/codex-luna-crop-guided.jsonl
codex,luna,crop-short,3,1,1,1,0,,16770,0,8960,471,,0.0023064,openai_api_equivalent_estimate,,Reads tag and remains cautious but treats off-page reference as drawing ID,experiments/single-image-prompt/results/raw/codex-luna-crop-short.jsonl
codex,luna,full-short,0,0,0,0,0,,16195,0,8960,537,,0.0022706,openai_api_equivalent_estimate,,Misreads VB as VF and drawing identifier; overstates expansion joint,experiments/single-image-prompt/results/raw/codex-luna-full-short.jsonl
codex,terra,crop-guided,4,1,1,1,1,,18473,0,9984,711,,0.0275068,openai_api_equivalent_estimate,,"Correct tag, motor/joint separation, and uncertainty",experiments/single-image-prompt/results/raw/codex-terra-crop-guided.jsonl
codex,terra,crop-short,1,1,0,0,0,,18327,0,9984,731,,0.0274548,openai_api_equivalent_estimate,,Reads tag but treats off-page reference as drawing ID and overstates joint,experiments/single-image-prompt/results/raw/codex-terra-crop-short.jsonl
codex,terra,full-short,3,0,1,1,1,,93419,0,71424,1514,,0.0764428,openai_api_equivalent_estimate,,Correct drawing context but does not transcribe full feeder tag,experiments/single-image-prompt/results/raw/codex-terra-full-short.jsonl
