image,width,height,provider,model,detail,processed_width,processed_height,image_input_tokens,input_price_per_mtok,estimated_image_cost_usd
overview,1600,1132,anthropic,claude-haiku-4.5,automatic tier,1296,916,1551,1.0,0.001551
overview,1600,1132,anthropic,claude-sonnet-5,automatic tier,1600,1132,2378,2.0,0.004756
overview,1600,1132,anthropic,claude-opus-5,automatic tier,1600,1132,2378,5.0,0.01189
overview,1600,1132,openai,gpt-5.6-luna,high,1600,1132,2160,0.2,0.000432
overview,1600,1132,openai,gpt-5.6-luna,original,1600,1132,2160,0.2,0.000432
overview,1600,1132,openai,gpt-5.6-terra,high,1600,1132,2160,2.0,0.00432
overview,1600,1132,openai,gpt-5.6-terra,original,1600,1132,2160,2.0,0.00432
overview,1600,1132,openai,gpt-5.6-sol,high,1600,1132,2160,4.0,0.00864
overview,1600,1132,openai,gpt-5.6-sol,original,1600,1132,2160,4.0,0.00864
r03-crop,1330,1710,anthropic,claude-haiku-4.5,automatic tier,955,1231,1540,1.0,0.00154
r03-crop,1330,1710,anthropic,claude-sonnet-5,automatic tier,1330,1710,2976,2.0,0.005952
r03-crop,1330,1710,anthropic,claude-opus-5,automatic tier,1330,1710,2976,5.0,0.01488
r03-crop,1330,1710,openai,gpt-5.6-luna,high,1330,1710,2722,0.2,0.0005444
r03-crop,1330,1710,openai,gpt-5.6-luna,original,1330,1710,2722,0.2,0.0005444
r03-crop,1330,1710,openai,gpt-5.6-terra,high,1330,1710,2722,2.0,0.005444
r03-crop,1330,1710,openai,gpt-5.6-terra,original,1330,1710,2722,2.0,0.005444
r03-crop,1330,1710,openai,gpt-5.6-sol,high,1330,1710,2722,4.0,0.010888
r03-crop,1330,1710,openai,gpt-5.6-sol,original,1330,1710,2722,4.0,0.010888
